bridge_id,domain,requested_classification,effective_classification,verdict_authorized,labels,missing_required_fields,ceiling_applied,source_artifacts_exist,assessment_hash
BELL-CHSH-REFERENCE,Bell/CHSH computational reference harness,FORMAL_CORRESPONDENCE,FORMAL_CORRESPONDENCE,False,FORMAL_CORRESPONDENCE_ONLY;OPERATIONAL_MAPPING_PARTIAL;PHYSICAL_MECHANISM_NOT_ESTABLISHED,,OPERATIONAL_MAPPING,True,hbp_assessment_877370e637288e6aaa8ad0a8
HYDROGEN-REFERENCE,Hydrogen gross-spectrum computational reference,FORMAL_CORRESPONDENCE,FORMAL_CORRESPONDENCE,False,FORMAL_CORRESPONDENCE_ONLY;OPERATIONAL_MAPPING_PARTIAL;PHYSICAL_MECHANISM_NOT_ESTABLISHED,,OPERATIONAL_MAPPING,True,hbp_assessment_ed8e0bf53fa144820a175902
SEMICONDUCTOR-REFERENCE,Toy semiconductor band reference,FORMAL_CORRESPONDENCE,FORMAL_CORRESPONDENCE,False,FORMAL_CORRESPONDENCE_ONLY;OPERATIONAL_MAPPING_PARTIAL;PHYSICAL_MECHANISM_NOT_ESTABLISHED,,OPERATIONAL_MAPPING,True,hbp_assessment_274a9d53e8ae6f4a2962e65b
CST-V0-2-2,internal closure stability instrument,FORMAL_CORRESPONDENCE,FORMAL_CORRESPONDENCE,False,FORMAL_CORRESPONDENCE_ONLY;OPERATIONAL_MAPPING_PARTIAL;PHYSICAL_MECHANISM_NOT_ESTABLISHED,,OPERATIONAL_MAPPING,True,hbp_assessment_d3f9337627cd33f83f6c604f
BELL-BRIDGE-V0-3-TERMINAL,terminal HAOS-to-Bell candidate archive,FORMAL_CORRESPONDENCE,FORMAL_CORRESPONDENCE,False,FORMAL_CORRESPONDENCE_ONLY;OPERATIONAL_MAPPING_PARTIAL;PHYSICAL_MECHANISM_NOT_ESTABLISHED,,OPERATIONAL_MAPPING,True,hbp_assessment_3b92650070434568c56fa52c
SYNTHETIC-RELATIONAL-CALIBRATION,synthetic relational geometry instrument calibration,FORMAL_CORRESPONDENCE,FORMAL_CORRESPONDENCE,False,FORMAL_CORRESPONDENCE_ONLY;OPERATIONAL_MAPPING_PARTIAL;PHYSICAL_MECHANISM_NOT_ESTABLISHED,,OPERATIONAL_MAPPING,True,hbp_assessment_17f18fc3f87e6400418a477c
PHYSICS-BRIDGE-53-PROXY,scalar-carrier physics-facing proxy readout,FORMAL_CORRESPONDENCE,FORMAL_CORRESPONDENCE,False,FORMAL_CORRESPONDENCE_ONLY;OPERATIONAL_MAPPING_PARTIAL;PHYSICAL_MECHANISM_NOT_ESTABLISHED,,OPERATIONAL_MAPPING,True,hbp_assessment_1038a589680fae77f1d9d1e6
FERRON-LINE-A,external ferron / NbOI2 coherent mode sidecar,FORMAL_CORRESPONDENCE,FORMAL_CORRESPONDENCE,False,FORMAL_CORRESPONDENCE_ONLY;PHYSICAL_MECHANISM_NOT_ESTABLISHED,,OPERATIONAL_MAPPING,True,hbp_assessment_ee65ef1449d5fadc32f52358
MAGNON-LINE-B,alpha-Fe2O3 magnon address stability note,FORMAL_CORRESPONDENCE,FORMAL_CORRESPONDENCE,False,FORMAL_CORRESPONDENCE_ONLY;OPERATIONAL_MAPPING_PARTIAL;PHYSICAL_MECHANISM_NOT_ESTABLISHED,,OPERATIONAL_MAPPING,True,hbp_assessment_2cc30c6d20b7601506e66c76
PB-01-NETWORK-RECOVERY,synthetic weighted network recovery,PREDICTIVE_BRIDGE,PREDICTIVE_BRIDGE,True,PHYSICAL_MECHANISM_NOT_ESTABLISHED,,PREDICTIVE_BRIDGE,True,hbp_assessment_8cc7f2327c1c9bcb9e170b76
